   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
   0,             1,               0,              2,         1,           0,          1,          0,            0,           0,        5,          0,         1
   1,             1,               0,              0,         1,           0,          1,          0,            0,           0,        8,          1,         2
   2,             4,               0,              1,        11,           2,         15,          1,            0,           0,       17,          3,        13
   3,            10,               2,              1,        21,           4,         12,          3,            2,          15,       24,          5,         6
   4,            13,               2,              3,        30,           5,         22,          6,            2,           0,       40,          9,         3
   5,            16,               2,              2,        51,           8,         24,         10,            2,           1,       50,         11,         3
   6,            19,               2,              2,        60,           9,          2,         15,            2,           1,       62,         13,         3
   7,            22,               2,              2,        62,          10,          2,         21,            2,           1,       74,         16,         5
   8,            25,               2,              2,        67,          10,          2,         28,            2,           1,       96,         22,         4
   9,            28,               2,              2,        78,          11,          3,         36,            2,           1,      113,         26,         5
  10,            31,               2,              2,        91,          13,          3,         45,            2,           1,      131,         30,         4
  11,            34,               2,              2,       115,          16,          2,         55,            2,           1,      148,         34,         4
  12,            39,               3,              3,       130,          18,          3,         66,            3,           1,      168,         39,         5
  13,            42,               3,              2,       141,          19,          2,         78,            3,           1,      185,         43,         5
  14,            45,               3,              2,       153,          20,          3,         91,            3,           1,      205,         48,         5
  15,            48,               3,              2,       158,          21,          3,        105,            3,           2,      221,         52,         5
  16,            51,               3,              2,       174,          23,          3,        120,            3,           2,      244,         58,         5
  17,            56,               4,              2,       173,          22,          3,        136,            4,           2,      266,         63,         5
  18,            59,               4,              2,       193,          24,          3,        153,            4,           2,      290,         69,        14
  19,            62,               4,              2,       212,          26,          3,        171,            4,           2,      313,         75,         5
  20,            67,               5,              2,       218,          27,          4,        190,            5,           3,      339,         82,         7
  21,            72,               6,              3,       249,          30,          4,        210,            6,           3,      360,         87,         6
  22,            75,               6,              3,       262,          31,          4,        231,            6,           3,      380,         91,         8
  23,            78,               6,              3,       265,          31,          4,        253,            6,           3,      403,         97,         7
  24,            81,               6,              3,       285,          34,          4,        276,            6,           3,      425,        102,         7
  25,            84,               6,              3,       305,          36,          4,        300,            6,           3,      448,        108,         7
  26,            89,               7,              3,       322,          38,          4,        325,            7,           3,      470,        113,         7
  27,            94,               8,              3,       333,          38,          4,        351,            8,           4,      491,        118,         7
  28,           101,              10,              3,       343,          38,          4,        378,           10,           4,      515,        124,         7
  29,           104,              10,              3,       358,          41,          4,        406,           10,           4,      538,        130,         8
  30,           107,              10,              3,       374,          42,          4,        435,           10,           5,      564,        137,        14
  31,           112,              11,              5,       393,          44,          6,        465,           11,           5,      585,        142,         9
  32,           115,              11,              4,       416,          47,          6,        496,           11,           6,      611,        148,         9
  33,           118,              11,              4,       416,          45,          5,        528,           11,         107,      637,        154,         9
  34,           121,              11,              4,       434,          47,          5,        561,           11,           6,      672,        164,        13
  35,           126,              12,              6,       435,          48,          7,        595,           12,           7,      691,        167,        11
  36,           129,              12,              4,       443,          48,          5,        630,           12,           7,      727,        177,        11
  37,           132,              12,              4,       485,          53,          5,        666,           12,           7,      748,        181,        10
  38,           135,              12,              4,       497,          54,          5,        703,           12,           2,      772,        187,        12
  39,           138,              12,              5,       502,          53,          7,        741,           12,           1,      802,        195,        11
  40,           143,              13,              4,       526,          56,          6,        780,           13,           1,      822,        198,        13
  41,           146,              13,              5,       546,          57,          7,        820,           13,           2,      851,        206,        13
  42,           149,              13,              5,       564,          59,          8,        861,           13,           2,      880,        214,        13
  43,           152,              13,              5,       571,          59,          7,        903,           13,           2,      909,        222,        13
  44,           155,              13,              5,       579,          59,          7,        946,           13,           2,      935,        228,        15
  45,           158,              13,              5,       589,          59,         10,        990,           13,           2,      960,        234,        26
  46,           161,              13,              5,       625,          63,          7,       1035,           13,           2,      993,        242,        15
  47,           166,              14,              5,       616,          62,          7,       1081,           14,           2,     1014,        247,        14
  48,           171,              15,              6,       637,          64,          8,       1128,           15,           2,     1045,        255,        11
  49,           174,              15,              6,       686,          70,          8,       1176,           15,           2,     1070,        260,         9
  50,           177,              15,              6,       696,          70,          8,       1225,           15,           2,     1104,        270,        10
  51,           182,              16,             10,       707,          72,          9,       1275,           16,           2,     1123,        273,         9
  52,           187,              17,              6,       736,          76,          9,       1326,           17,           2,     1154,        280,         9
  53,           194,              19,              6,       726,          72,          8,       1378,           19,           2,     1180,        287,         9
  54,           201,              21,              7,       774,          80,         10,       1431,           21,           2,     1206,        293,         9
  55,           204,              21,              6,       801,          83,         10,       1485,           21,           2,     1231,        300,         9
  56,           207,              21,              6,       808,          82,          9,       1540,           21,           5,     1264,        308,        10
  57,           210,              21,              7,       803,          78,         13,       1596,           21,           2,     1287,        312,        64
  58,           213,              21,              6,       817,          79,          9,       1653,           21,           2,     1314,        320,         9
  59,           216,              21,              6,       833,          82,          9,       1711,           21,           2,     1340,        327,         9
  60,           219,              21,              6,       877,          88,        109,       1770,           21,           3,     1370,        334,      1346
  61,           222,              21,              7,       870,          86,         12,       1830,           21,           3,     1394,        339,        27
  62,           225,              21,              7,       872,          84,         10,       1891,           21,           3,     1422,        346,        13
  63,           228,              21,              7,       893,          86,         10,       1953,           21,           3,     1447,        352,        10
  64,           233,              22,              9,       917,          88,          9,       2016,           22,           2,     1467,        355,        12
  65,           236,              22,              7,       947,          92,         10,       2080,           22,           3,     1498,        363,        10
  66,           239,              22,             14,       978,          95,         21,       2145,           22,           3,     1545,        377,        14
  67,           242,              22,              7,       976,          93,          9,       2211,           22,           3,     1572,        383,        10
  68,           247,              23,              8,       993,          95,         10,       2278,           23,           3,     1608,        392,        11
  69,           254,              25,              7,       999,          93,         10,       2346,           25,           3,     1636,        398,        10
  70,           263,              28,              8,      1023,          96,          9,       2415,           28,           3,     1670,        407,        10
  71,           272,              31,              8,      1046,         100,         10,       2485,           31,           3,     1697,        413,        10
  72,           275,              31,              8,      1061,         101,          9,       2556,           31,           3,     1734,        423,        10
  73,           278,              31,              8,      1045,          97,          9,       2628,           31,           3,     1757,        427,        10
  74,           281,              31,              8,      1082,         101,         11,       2701,           31,           4,     1796,        437,        12
  75,           284,              31,             14,      1137,         106,         13,       2775,           31,           4,     1824,        445,        12
