  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
  0,             1,               0,              1,         1,           0,          1,          0,            0,           0,        5,          0,         2
  1,             1,               0,              0,         1,           0,          0,          0,            0,           0,        8,          1,         2
  2,             4,               0,              1,        11,           2,          3,          1,            0,           0,       17,          3,        16
  3,             7,               0,              1,        13,           2,          3,          3,            0,           1,       24,          5,         2
  4,            12,               1,              1,        24,           4,          3,          6,            1,           1,       37,          8,         3
  5,            15,               1,              2,        35,           5,          4,         10,            1,           1,       47,         10,         3
  6,            24,               4,              2,        43,           6,          4,         15,            4,           2,       61,         13,         3
  7,            31,               6,              2,        61,           9,          5,         21,            6,           3,       69,         14,         2
  8,            34,               6,              2,        71,          10,          5,         28,            6,           2,       91,         20,         3
  9,            37,               6,              3,        93,          13,          6,         36,            6,           3,      108,         24,         3
 10,            42,               7,              2,       106,          15,          7,         45,            7,           3,      128,         29,         3
 11,            47,               8,              2,       116,          15,          8,         55,            8,           4,      142,         32,         4
 12,            50,               8,              2,       132,          17,          7,         66,            8,           4,      165,         38,         3
 13,            53,               8,              3,       142,          19,         11,         78,            8,           4,      182,         42,         5
 14,            56,               8,              2,       148,          19,          9,         91,            8,           5,      199,         46,         6
 15,            59,               8,              2,       160,          21,         13,        105,            8,           6,      218,         51,         4
 16,            62,               8,              2,       167,          21,          9,        120,            8,           6,      243,         57,         4
 17,            65,               8,              3,       192,          24,         23,        136,            8,           8,      266,         63,         4
 18,            68,               8,              3,       198,          24,         11,        153,            8,           9,      290,         69,         5
 19,            73,               9,              3,       214,          26,         11,        171,            9,           9,      307,         72,         6
 20,            76,               9,              3,       220,          26,         12,        190,            9,          10,      340,         82,         6
 21,            79,               9,              3,       250,          30,         14,        210,            9,          10,      359,         86,         6
 22,            82,               9,              3,       268,          32,         14,        231,            9,          12,      378,         90,         6
 23,            85,               9,              3,       266,          30,         13,        253,            9,          14,      397,         94,         7
 24,            88,               9,              3,       282,          32,         13,        276,            9,          13,      422,        100,         7
