 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
 0,             1,               0,              2,         1,           0,          0,          0,            0,           0,        5,          0,         2
 1,             1,               0,              1,         1,           0,          0,          0,            0,           1,        8,          1,         4
 2,             4,               0,              2,        11,           2,          5,          1,            0,           1,       17,          3,         4
 3,             7,               0,              3,        13,           2,          8,          3,            0,           1,       24,          5,         9
 4,            10,               0,              4,        25,           4,          8,          6,            0,           2,       40,          9,         8
 5,            13,               0,              2,        37,           6,          8,         10,            0,           2,       50,         11,        59
 6,            18,               1,              3,        49,           8,          9,         15,            1,           3,       62,         13,        10
 7,            27,               4,              3,        55,           8,         10,         21,            4,           5,       73,         16,         9
 8,            30,               4,              4,        74,          11,         16,         28,            4,           6,       95,         22,        18
 9,            33,               4,              8,        90,          13,        882,         36,            4,           6,      112,         26,        12
10,            36,               4,              4,       103,          15,         13,         45,            4,           9,      132,         31,        14
