   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
   0,             1,               0,              1,         1,           0,          0,          0,            0,           0,        5,          0,         1
   1,             1,               0,              0,         1,           0,          1,          0,            0,           0,        8,          1,         2
   2,             4,               0,              1,        11,           2,         12,          1,            0,           0,       17,          3,         3
   3,             9,               1,             10,        22,           4,         11,          3,            1,           7,       22,          4,         3
   4,            12,               1,              4,        31,           5,          3,          6,            1,           0,       38,          8,        12
   5,            21,               4,              0,        42,           7,         10,         10,            4,           0,       50,         11,         2
   6,            28,               6,              0,        53,           8,          1,         15,            6,           1,       62,         13,         2
   7,            39,              10,              1,        71,          10,          2,         21,           10,           1,       70,         15,         4
   8,            48,              13,              0,        81,          11,          1,         28,           13,           1,       92,         20,         2
   9,            61,              18,              1,       101,          14,          2,         36,           18,           1,      111,         25,         2
  10,            66,              19,              1,       116,          16,          2,         45,           19,           1,      131,         30,         2
  11,            71,              20,              1,       131,          18,          2,         55,           20,           1,      145,         33,         4
  12,            78,              22,              1,       132,          17,          2,         66,           22,           1,      170,         39,         2
  13,            81,              22,              1,       162,          21,          3,         78,           22,           2,      187,         43,         6
  14,            98,              29,              2,       199,          23,          5,         91,           29,           3,      201,         46,         4
  15,           117,              37,              3,       192,          26,          6,        105,           37,           4,      214,         50,         4
  16,           140,              47,              2,       194,          24,          6,        120,           47,           4,      235,         54,         5
  17,           173,              62,              3,       228,          27,          7,        136,           62,           4,      247,         57,         5
  18,           200,              74,              3,       260,          31,          7,        153,           74,           4,      273,         63,         5
  19,           211,              78,              4,       302,          35,          6,        171,           78,           5,      290,         67,         4
  20,           240,              91,              3,       307,          35,          6,        190,           91,           5,      304,         70,         4
  21,           277,             108,              2,       304,          33,          3,        210,          108,           3,      333,         79,         4
  22,           284,             110,              3,       317,          34,          4,        231,          110,           4,      357,         85,         4
  23,           287,             110,              4,       354,          41,          4,        253,          110,           4,      372,         87,         4
  24,           332,             131,              5,       351,          41,          6,        276,          131,           7,      408,         96,         6
  25,           377,             152,              6,       415,          40,          7,        300,          152,           8,      430,        101,         6
  26,           404,             164,              4,       391,          36,          5,        325,          164,           5,      446,        103,         5
  27,           453,             187,              4,       415,          49,          7,        351,          187,           9,      460,        106,         7
  28,           498,             208,              8,       472,          57,         10,        378,          208,          10,      493,        115,         6
  29,           529,             222,              7,       479,          58,         10,        406,          222,          10,      513,        119,         7
  30,           562,             237,              8,       466,          56,          9,        435,          237,          11,      529,        122,         7
  31,           581,             245,              8,       508,          56,          9,        465,          245,          12,      543,        124,         7
