  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
  0,             1,               0,              1,         1,           0,          1,          0,            0,           1,        5,          0,         1
  1,             1,               0,              1,         1,           0,          1,          0,            0,           0,        8,          1,         2
  2,             5,               1,              1,        10,           2,          3,          1,            1,           1,       15,          2,         3
  3,             8,               1,              2,        22,           4,          5,          3,            1,           2,       22,          4,        11
  4,            13,               2,              2,        35,           6,          6,          6,            2,           3,       35,          7,         5
  5,            16,               2,              3,        44,           7,          6,         10,            2,           3,       49,         11,         4
  6,            27,               6,              4,        55,           8,          7,         15,            6,           3,       61,         13,         4
  7,            34,               8,              4,        67,          10,          8,         21,            8,           8,       70,         15,         5
  8,            50,              15,              5,        80,          12,         12,         28,           15,           4,       92,         20,         5
  9,            63,              20,              4,       103,          14,          7,         36,           20,           3,      101,         21,         6
 10,            80,              27,              6,       118,          14,         11,         45,           27,           6,      115,         24,         7
 11,            93,              32,              8,       130,          17,         18,         55,           32,           7,      135,         29,         7
 12,           102,              35,              8,       147,          19,         13,         66,           35,           7,      154,         34,         8
 13,           125,              45,              8,       177,          23,         20,         78,           45,           8,      164,         36,        10
 14,           134,              48,              9,       186,          25,         19,         91,           48,          11,      179,         39,         8
 15,           151,              55,              9,       221,          27,         18,        105,           55,          12,      197,         44,         8
 16,           158,              57,             14,       236,          26,         20,        120,           57,          12,      233,         54,         9
 17,           185,              69,             11,       238,          32,         19,        136,           69,          15,      248,         56,        34
 18,           204,              77,             11,       242,          30,         17,        153,           77,          18,      273,         62,        10
 19,           211,              79,             15,       273,          35,         23,        171,           79,          18,      289,         66,        10
 20,           251,              98,             15,       293,          36,         22,        190,           98,          18,      317,         73,        10
 21,           290,             116,             16,       298,          37,         21,        210,          116,          20,      330,         75,        10
 22,           333,             136,             18,       322,          41,         22,        231,          136,          22,      341,         77,        13
 23,           362,             149,             21,       355,          41,         22,        253,          149,          18,      362,         82,         7
 24,           391,             162,             15,       367,          44,         31,        276,          162,          23,      388,         89,        10
 25,           424,             177,             29,       414,          48,         59,        300,          177,          24,      408,         94,        11
 26,           451,             189,             23,       439,          49,         24,        325,          189,          30,      438,        102,        13
 27,           500,             212,             24,       459,          50,         26,        351,          212,          31,      447,        103,        14
 28,           513,             217,             25,       478,          52,         30,        378,          217,          33,      470,        108,        14
 29,           528,             223,             30,       500,          62,         30,        406,          223,          40,      482,        110,        14
 30,           543,             229,             27,       517,          61,         28,        435,          229,          34,      506,        116,        13
 31,           570,             241,             26,       555,          59,         38,        465,          241,          41,      527,        122,        15
 32,           595,             252,             31,       619,          62,         36,        496,          252,          40,      564,        131,        15
 33,           622,             264,             20,       559,          68,         24,        528,          264,          29,      586,        137,         9
 34,           679,             291,             21,       606,          62,         10,        561,          291,          43,      620,        144,        15
 35,           696,             298,             30,       637,          68,         10,        595,          298,          46,      642,        149,        15
 36,           753,             325,             37,       649,          77,         11,        630,          325,          52,      663,        154,        14
 37,           812,             353,             36,       727,          77,        114,        666,          353,          51,      680,        158,        17
 38,           871,             381,             48,       692,          72,         11,        703,          381,          60,      695,        160,        18
 39,           880,             384,             43,       792,          75,         14,        741,          384,          59,      727,        169,        36
 40,           960,             423,             45,       834,          82,         15,        780,          423,          59,      754,        174,        17
 41,          1017,             450,             48,       781,          80,         14,        820,          450,          61,      774,        179,        15
 42,          1062,             471,             51,       783,          85,         14,        861,          471,          74,      798,        184,        19
 43,          1123,             500,             58,       846,          89,         27,        903,          500,          77,      836,        195,        24
 44,          1136,             505,             64,       867,          93,         15,        946,          505,          74,      870,        204,        18
 45,          1165,             518,             57,       849,          94,         14,        990,          518,          86,      899,        213,        19
 46,          1210,             539,             39,       881,          97,          9,       1035,          539,          55,      913,        214,        12
 47,          1271,             568,             39,       924,          99,          9,       1081,          568,          58,      934,        219,        26
 48,          1322,             592,             94,       877,         102,         16,       1128,          592,          93,      972,        229,        22
 49,          1407,             633,             65,       921,         105,         18,       1176,          633,          91,      994,        234,        20
 50,          1486,             671,             79,       944,         106,         16,       1225,          671,          95,     1023,        242,        23
 51,          1507,             680,             72,       987,         108,         16,       1275,          680,         105,     1038,        245,        25
 52,          1514,             682,             71,       970,         111,         16,       1326,          682,         100,     1077,        255,        26
 53,          1553,             700,             71,      1018,         103,         17,       1378,          700,         112,     1109,        265,        25
 54,          1658,             751,             84,      1100,         118,         12,       1431,          751,          77,     1130,        268,        16
