 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
 0,             1,               0,              1,         1,           0,          1,          0,            0,           0,        5,          0,         3
 1,             1,               0,              1,         1,           0,          1,          0,            0,           1,        8,          1,         3
 2,             4,               0,              2,        11,           2,          4,          1,            0,           1,       17,          3,         5
 3,             7,               0,              2,        13,           2,          5,          3,            0,           2,       24,          5,         5
 4,            12,               1,              5,        24,           4,          6,          6,            1,           2,       37,          8,         7
 5,            22,               5,              3,        45,           7,          7,         10,            5,           2,       46,         10,         9
 6,            33,               9,              5,        61,           9,          9,         15,            9,           4,       64,         14,        10
 7,            38,              10,              5,        77,          12,         10,         21,           10,           4,       76,         17,        17
 8,            43,              11,              5,        92,          14,          9,         28,           11,           5,       96,         22,        10
 9,            50,              13,              6,       103,          13,          9,         36,           13,          14,      112,         26,         9
10,            53,              13,              6,       137,          16,         10,         45,           13,           6,      130,         30,        12
